X,Y,fid,navn,eier_tilrettelegging,Opening season,Waste types,icon_url
12.9786782250147,67.8803242986234,"1",Å parkering,Statens vegvesen,May 15 - oct 1,Restavfall / Residual waste,./0.png
13.0102325271779,67.8908207039637,"2",SOIL-huset,Moskenes kommune,All year,Restavfall / Residual waste,./0.png
13.0454960950151,67.8994815111485,"3",Moskenes fergekai,Statens vegvesen,All year,Restavfall / Residual waste,./0.png
13.094747476767,67.9349423126675,"4",Reine ytre havn,Moskenes kommune,All year,Restavfall / Residual waste,./0.png
13.1515259441578,67.9620450330553,"5",Akkarvikodden,Statens vegvesen,May 15 - oct 1,Restavfall / Residual waste,./0.png
13.1728092961712,68.0869827834715,"6",Draugenplassen,Flakstad kommune,May - sep,Restavfall / Residual waste,./0.png
13.1296601705732,68.0683037409057,"8",Torsfjord,Flakstad kommune,Jun-aug,Restavfall / Residual waste,./0.png
13.2459767427036,68.0984594798997,"9",Ramberg,Statens vegvesen,May 15 - oct 1,Restavfall / Residual waste,./0.png
13.2839712970256,68.1037171546257,"10",Brunstranda,Statens vegvesen,May 15 - oct 1,Restavfall / Residual waste,./0.png
13.5071974359186,68.1495489186084,"11",Skreda,Statens vegvesen,All year,Restavfall / Residual waste,./0.png
13.5596702727633,68.1145763547168,"12",Klokkarvika,Vestvågøy kommune,All year,Restavfall / Residual waste,./0.png
13.5055826407691,68.2093796810611,"13",Uttakleiv,Uttakleiv grendelag,May 1 - oct 15,"Restavfall / Residual waste, glass- og metalemballasje/glass and metal packing ",./0.png
13.531703375142,68.199491771267,"14",Haukland,Vestvågøy kommune,?,"Restavfall / Residual waste, glass- og metalemballasje/glass and metal packing ",./0.png
13.6999113294564,68.15724005697,"15",Hagskaret,Statens vegvesen,May 15 - oct 1,Restavfall / Residual waste,./0.png
13.5842101432614,68.271676690465,"16",Unstad,Vestvågøy kommune,All year,Restavfall / Residual waste,./0.png
13.6533156382831,68.3077026493324,"17",Eggum,Statens vegvesen,?,Restavfall / Residual waste,./0.png
13.8271490080474,68.2630731238131,"18",Torvdalshalsen,Statens vegvesen,All year,Restavfall / Residual waste,./0.png
14.2703302073588,68.2606185024571,"19",Kleppstad rasteplass,Statens vegvesen,May 15 - oct 1,Restavfall / Residual waste,./0.png
14.2348043501789,68.2031550849472,"20",Rørvika,Vågan kommune,All year,Restavfall / Residual waste,./0.png
14.20767327231,68.1560707635955,"21",Henningsvær Misværhola,Vågan kommune,All year,Restavfall / Residual waste,./0.png
14.2143909541746,68.171051252739,"22",Festvåg,Vågan kommune,All year,Restavfall / Residual waste,./0.png
14.3365633479845,68.1895980880091,"23",Kalle,Vågan kommune ,All year,Restavfall / Residual waste,./0.png
14.5515897512018,68.2349558978166,"24",Svolvær fergekai,Statens vegvesen,All year,Restavfall / Residual waste,./0.png
14.6073054215064,68.2438963637693,"25",Stranda under fjellet,Vågan kommune,?,Restavfall / Residual waste,./0.png
14.6482064147979,68.2443072485608,"26",Børvågan,Vågan kommune,All year,Restavfall / Residual waste,./0.png
14.6594725220005,68.2814741721143,"27",Vaterfjorden,Statens vegvesen,May 15 - oct 1,Restavfall / Residual waste,./0.png
14.7150587508808,68.3158395084502,"28",Austnesfjorden,Statens vegvesen,All year,Restavfall / Residual waste,./0.png
14.8241827987962,68.4307891036461,"29",Fiskebøl fergekai,Statens vegvesen,All year,Restavfall / Residual waste,./0.png
14.8415329116893,68.4171105334797,"30",Hattneset rasteplass,Statens vegvesen,May 15 - oct 1,Restavfall / Residual waste,./0.png
14.6612656804045,68.168998795583,"31",Skrova samfunnshus,Vågan kommune,Jun - aug,Restavfall / Residual waste,./0.png
